Atalar_sozlari|Random_Ededer
Adam yanıla-yanıla öyrənir.|795
Adamı dindir, sonra qiymətin ver.|937
Adamı qılınc öldürməz, tənəli söz öldürər.|81
Adamı söz, kababı köz yandırar.|301
Adamı tanıyan qurd yesin.|729
Adamın adı çıxınca canı çıxsa yaxşıdır.|459
Adamın axır günü gərək xoş olsun.|291
Adamın ayağından çəkən çox olar.|374
Adamın başına nə gəlsə dilindəndir.|830
Adamın dəlisi daşa güc elər, öküzün dəlisi – başa.|825
Adamın dinməzindən yaramaz koxa tikdilər.|198
Adamın düşməni – öz dili.|739
Adamın öz əli, öz kisəsi.|903
Adamın üzünə baxarlar, halın xəbər alarlar.|23
Adət qanun deyil, amma qanun qədər hökmü var.|618
Adilin qəzəbindən qorxmaq gərək, zalımın sükutundan.|947
Ağ ağça qara gün üçündü.|825
Ağ atla cahil ağaya qulluq eləmə.|15
Ağ divara hansı rəng çəksən tutar.|245
Ağ evi görəndə qara evi yaddan çıxartma.|46
Ağ gün adamı ağardar, qara gün qaraldar.|286
Ağ itin həllaca zərəri var.|692
Ağ köpək, qara köpək, ikisi də köpəkdi.|449
Ağ qoyun, qara qoyun keçid başında bəlli olar.|78
Ağ qoyunu görənlər içi dolu yağ sanar.|833
Ağ qoyunun qara quzusu da olur.|347
Ağ parçaya ləkə tez düşər.|289
Ağa ağ deyiblər, qaraya qara.|584
Ağı gördün, qaranı unutdun?!|76
Ağın adı, qaranın dadı.|691
Ağa deyir: - sür dərəyə! - sür dərəyə.|99
Ağa gətirər navala, xanım tökər çuvala.|652
Ağa ilə xanım savaşdı, arada nökərin canı çıxdı.|428
Ağalıq verimlədir, igidlik vurumla!|741
Ağanın malı çıxar, muzdurun canı.|348
Ağası güclü olan qul ası olar.|217
Ağaya ağa desən gülməyi gələr, nökərə nökər desən ağlamağı.|644
Ağac acı, can şirin.|512
Ağac bar verdikcə başın aşağı əyər.|424
Ağac başında qora, bilmədim düşdüm tora.|109
Ağac böyüdükcə suyu çox aparar.|142
Ağac dibindən su içər.|149
Ağac əkənə rəhmət oxunar.|274
Ağac əyildi – sındı, igid əyildi – öldü.|677
Ağac gəlməmişkən, vay qabırğalarım.|210
Ağac kökündən su içər.|529
Ağac meyvəni dəyənə qədər böyüdər.|277
Ağac nazikliyindən sınsa, adam yoğunluğundan sınar.|923
Ağac sınanda budaq nəyə gərəkdi?!|589
Ağac yaş ikən əyilməsə, əyilməz.|635
Ağac yeyən sıpa bir də xırmana girməz.|754
Ağac yıxılan günü çatdıyar.|673
Ağac yıxılanda baltalı da gələr, baltasız da.|727
Ağacı baltalayanda “sapı məndəndir” demiş.|141
Ağacı kəsərlər, öz səmtinə yıxılar.|42
Ağacı qurd öz içindən yeyər.|180
Ağacın qurdu özündən olmasaydı, min yaşardı.|397
Ağacın yemişin ye, sonra qabığın soyma.|215
Ağacın yómşağını ãórä yåyər.|437
Ağaclar başın tərpədəndə söyüd deyər: - mən də, mən də.|247
Ağçalı adamdan dağlar da qorxar.|521
Ağıl ağıldan ötgündü.|710
Ağıl başda ikən, evin avadan.|110
Ağıl yaşda olmaz, başda olur.|324
Ağıla gələn başa gələr.|773
Ağılları bazara çıxardıblar, hər kəs yenə öz ağlın alıb.|502
Ağıllı ağıl eləyincə dəli vurdu keçdi.|918
Ağıllı arvad ara, ağılsız arvad vara qaçar.|250
Ağıllı arvad kamala, ağılsız arvad camala güvənər.|501
Ağıllı bildiyin söyləməz, dəli söylədiyin bilməz.|4
Ağıllı bizi tapmaz, dəli bacadan yağar.|918
Ağıllı düşmən nadan dostdan yaxşıdır.|77
Ağıllı düşməndən qorxma, dəli dostdan qorx.|874
Ağıllı evlənincə dəlinin oğlu olar.|65
Ağıllı gördüyünü, ağılsız eşitdiyini söylər.|329
Ağıllı kasıba dəli deyərlər, dövlətli dəliyə “bəli” deyərlər.|131
Ağıllı kişi qışın qeydinə yayda qalar.|234
Ağıllı olan bir dəfə aldanar.|248
Ağıllınız Xıdır ağa, barmağın saldı bardağa.|653
Ağıllısı hansıdı, qabaqda gedən dəli.|326
Ağıllıya qırx gün dəli desən, dəli olur.|33
Ağıllıynan çəkişmək cahılnan halva yeməkdən yaxşıdı.|223
Ağılsız baş əlindən səfil ayaq nə çəkir.|571
Ağılsız dostdan ağıllı düşmən yaxşıdır.|251
Ağlını eşşək ağlına verərsən, çəkər arpa zəmisinə.|499
Ağır ayaq baş əyər.|463
Ağır basmayınca yüngül qalxmaz.|79
Ağır gəldi, yüngül qalxar.|686
Ağır qazan gec qaynar.|766
Ağır otur, “ağa” desinlər.|340
Ağır otur, batman gəl.|312
Ağır yükün zəhmini qatır bilər.|998
Ağırlığın yer götürər, ruzusun Allah yetirər.|241
Ağız açdı, göhər saçdı.|604
Ağız yandıran aşı qaşıq tanıyar.|229
Ağız yeməsə, üz utanmaz.|318
Ağızdan çıxan başa dəyər.|377
Ağızdan-ağıza doğru xəbər yoxdu.|532
Ağzı əyrini boynu ardından tanıyarlar.|84
Ağzım nə yeyib ki, üzüm nə utana?|50
Ağzım yaradır, sulaya bilmərəm.|744
Ağzımı bir aş yandırsın aş ola; başımı bir daş yarsın ki, daş ola.|247
Ağzından sifdə çıxardanda gümüş çıxart, amma heç dinməsən qızıldı.|662
Ağzuva bax, tikə götür.|355
Ağladan yanına get, güldürən yanına getmə.|942
Ağladım başarmadım, güldüm günümü keçirdim.|757
Ağladırsa fələk, bir gün güldürər.|639
Ağlama ölü üçün, ağla dəli üçün.|484
Ağlamaq ilən gözlərim verməsə də, almayacaq.|691
Ağlamaqla gülmək bacı-qardaşdı.|636
Ağlamaqla kişi qeyrətsiz olar.|85
Ağlamayan uşağa süd verməzlər.|534
Ağlarsa anam ağlar, qalanı yalan ağlar.|5
Ağlayanda elə ağla əzizi ölmüş kimi, Güləndə elə gül əzizi gəlmiş kimi.|730
Ağlayanda imam üçün də ağla, yezid üçün də.|381
Ağlayanın bir dərdi var, gülənin beş.|85
Ağlayışın bilməyən ölüsün murdarlayar.|922
Ağrımayan baş yastıq istəməz.|166
Ah-vayla çıxar kasıbın canı, elə deyər: - Allah kərimdir!|115
Ahıl öküz cütə getməsə, uşaqlar acından qırılar.|449
Ax, mənim kisəm, minnətsiz yesəm.|49
Axacaã ãan äamaräa äórmaç.|133
Axar su gedər, qalmaz.|182
Axar su murdarlıq götürməz.|202
Axır – axır, çıxar paxır.|919
Axırın gəlsin, bez köynək!|766
Axmaq başın cəfasını ayaqlar çəkər.|362
Axmaq it aya hürər.|640
Axmaq özünə düşməndi, özgəyə necə dost olar?!|423
Axsaq at yüyrək olar.|372
Axsaq eşşəyin kor nalbəndi olar.|783
Axsaq qoyuna nə dağ, nə aran?|506
Axşam axıra, sabah naxıra.|530
Axşamdan sonra gələn qonağın yeyəcəyi soğandır.|172
Axşamın xeyrindənsə sabahın şəri.|822
Axşamın sirrini dan bilər.|409
Axtaxana böyüdü, dağda dana böyüdü, sən niyə böyümədin?!|115
Axtaran tapar.|901
Axtarmağınan deyil, rast gəlməyinəndir.|548
Axund özü elər, özgəyə öyüd verər.|50
Al almaya daş atan çox olar.|346
Al qapıda, sat qapıda.|905
Al ver deyiblər, al vermə deməyiblər.|30
Alacağım olsun, alaqarğada olsun.|251
Alan aldanmaz, satan aldanar.|345
Alacağı bir piltədi, pambığın batmanın soruşur.|241
Aldığı bir iynədi, dəmirin batmanın yoxlayır.|388
Aldım qoz, satdım qoz, mənə qaldı çaqqaçuq.|136
Alıcı quş dimdiyindən bilinər.|847
Alma arvadın dulunu, dalınca gələr qulunu.|766
Almaq aldanmaqdı, vermək hünərdi.|507
Ala it çaqqalın dayısıdı.|7
Ala it gedər, qara it gələr.|634
Ala itin balası qara olar, yanılsa boynu ala olar, hürəndə anası kimi hürər.|538
Ala qarğa olmağı bəs deyil, həkimlik də eləyir.|496
Ala qarğa şux tərlanı bəyənməz.|689
Ala qayada bostan ura olub, kəliyin dərən yoxdu.|982
Alça mənim, gilas mənim, tut mənim, gavalıda da gözüm var.|94
Alçaq ata hamı minər.|938
Alçaq dağa qar yağmaz?!|355
Alçaq yer igidi xor göstərər.|593
Alçaq yerdə təpəcik özün dağ sanar.|865
Alçaq uçan ucaya qonar, uca uçan alçaq qonar.|448
Alçaqda yatma – sel aparar, ucada yatma – yel aparar.|157
Aləm aləm ilədir, keçəl qız da xalamla.|846
Aləmə it hürər, bizə Mazandaran çaqqalı.|764
Aləmə oğruyam, sənə ki doğruyam.|925
Allafın işi alaf satmaqdı, istər ata tök, istər eşşəgə.|461
Allah bir, söz bir.|804
Allah bir qapını bağlayanda bir qapını açar.|101
Allah böyüklərin xasiyyətini kəssin.|760
Allah bu əli o ələ möhtac eləməsin.|831
Allah buynuzsuz qoçun qisasın buynuzlu qoçda qoymaz.|825
Allah dağına görə qar yağdırar.|202
Allah deyən namurad qalmaz.|880
Allah dərdi çəkənə verir.|367
Allah dəvəyə qanad versəydi, dam-divarı yıxardı.|527
Allah əsilsizə düşürtməsin.|960
Allah haqqı nahaqqa verməz.|741
Allah istəyən danaya qurd dəyməz.|99
Allah qonağının öz qisməti var.|69
Allah min dərd verib, min bir dərman.|452
Allah möminə hər şeyi bağışlar.|699
Allah ona qotur versin, dırnaq verməsin.|255
Allah sağ gözü sol gözə möhtac eyləməsin.|191
Allah saxlayanı qurd yeməz.|137
Allah tənbəli sevməz.|69
Allah var, rəhmi də var.|132
Allah verəndə bacadan da tökər.|373
Allah verəndə yox yerdən də verər.|39
Allah verməz qara quluna, o da qalar vuruna-vuruna.|895
Allah vuran ağacın səsi çıxmaz.|57
Allah yolunda yox, şeytan yolunda çox.|867
Allaha inanmayana bəndələr də inanmaz.|904
Allahdan gizlin deyil, bəndədən nə gizlin.|486
Allahdan qorxmaz, bəndədən utanmaz.|619
Allahdan nə gəlsə xoşdur.|115
Allahın yarası da var, çarası da.|727
Alma öz ağacından uzaq düşməz.|977
Almanı at göyə, yerə gəlincə ya qismət.|378
Alovdan çıxdıq, yalova düşdük.|407
Alt daşı ağır olar.|456
Altın həsir, üstün həsir, yat, yetim, tərləyəsən!|662
Altın görmədiyin qabdan su içmə.|220
Aman deyənə əl qaldırmazlar.|74
Ana bala ucundan canını oda yaxar.|843
Ana kimi yar olmaz – vətən kimi dövlət-var.|97
Ana uşağa aş gətirər, analıq yaş.|406
Anadan əziz yenə anadır.|159
Analı qızın özü böyüyər, anasız qızın sözü.|330
Analı quzu – xınalı quzu.|164
Anam doğub, bacıma güc düşüb.|737
Anam elə çox bilir, kündəni xırda tökür, Atam elə az bilir, ikisini birdən bükür.|602
Ananın ərköyün oğlu hambal olar.|846
Ananın səbri tükənməz olur.|276
Anası çıxan ağacı qızı budaq-budaq gəzər.|803
Anasına bax qızını al, qırağına bax bezini al.|468
Anasından ayrı düşən quzunu qurd yeyər.|324
Anasından qabaq düşən qulunu qurd yeyər.|577
Anasızın gördüyü iş danlaqsız bitməz.|183
Andın iki başı olur.|686
Andına inanıram, xoruzun da quyruğu görünür.|129
Anladıq - yel dəyirmanı, bəs bunun suyu hanı?|959
Anlamaza hörmət elərsən, deyər: məndən qorxdu.|638
Anlayan özü qanar, anlamayana yüz qandır.|435
Anlayana da can qurban, anlamayana da, dad yarımçıq əlindən.|156
Anlayana qul ol, anlamayana ağa da olma.|938
Anlayana milçək sazdır, anlamayana zurna da azdır.|974
Ara sözü ev yıxar.|189
Arada ala çatı olmasa, qurd qoyunla otlayar.|551
Aralıq atı, kor fatı.|565
Aralıq malı arada yeyilər.|767
Araba aşandan sonra yol göstərən çox olar.|969
Arabaçı atı gözündən qocalar.|561
Aranda tutdan oldum, dağda qurutdan.|615
Aranın dağı sağ olsun, qarlı da olar, qarsız da.|582
Araz axır, gözün baxır.|490
Araz, altını da bilirəm, üstünü də.|170
Araz aşığındandı, Kür topuğundan.|454
Ardınca padşahın da söylərlər.|90
Arx həmişə çınqıl gətirməz.|708
Arxa su gələnəcən qurbağanın canı çıxar.|29
Arxa su gəlib, umud var bir də gəlsin.|863
Arxlar axır çay olur.|153
Arxadan vuran namərddir.|292
Arxalı köpək qurd basar.|616
Arxalıya arxa olma – yamaq sayarlar, Arxasıza arxa ol – dayaq sayarlar.|190
Arxanı kürkə öyrətmə.|989
Arı qəhrin çəkməyən balın qədrini bilməz.|491
Arı şirəyə dolanar.|462
Arının tikanın gördüm, balından əl çəkdim.|296
Arığa batman da yükdür.|505
Arıq it öz kəndinin şiridir.|208
Arif adam tərif istəməz.|108
Arifə bircə işarə də bəsdir.|830
Armud özgənin, eşşək kirayə.|622
Armudun yaxşısını meşədə ayı yeyər.|378
Arpa əkən buğda biçməz.|820
Arpa unun yoxdusa, dadlı dilin də yoxdur?!|920
Arpa verilməyən at qamçı gücü ilə yeriməz.|121
Arpa yemiş at mənzil kəsər.|399
Arpadan, buğdadan əlim üzüldü, ümidim sənə qaldı, darı xirməni.|230
Arpaya qatsan at yeməz, sümüyə qatsan it yeməz.|556
Arsız kişidən ərsiz arvad yaxşıdır.|855
Arsız nədən arlanar?!|752
Arsızın üzünə tüpürüblər, “yağış yağır” demiş.|986
Arşın olmayan yerdə çərək də ölçüdür.|471
Artıq aş – ya qarın ağrıdar, ya baş.|858
Artıq mal gözmü çıxarır?!|319
Artıq tamah daş yarar, daş qayıdar baş yarar.|145
Artıq tikə baş yarar.|643
Arvad evinə girənin qapısı alçaq olar.|613
Arvad iki olanda ev süpürülməmiş qalar.|928
Arvad ilə at igidin baxtına.|346
Arvad malı alçaq qapı kimidi; girəndə də başına dəyəcək, çıxanda da.|255
Arvad malı başa toxmaq kimi dəyər.|712
Arvad tutan yolun axırı yoxuşa qalxar.|693
Arvad üzlü kişidən, kişi üzlü arvaddan əlhəzər.|932
Arvad var ev yığar, arvad var ev yıxar.|208
Arvadı ahıl gözüylə, atı – cahıl gözüylə.|248
Arvadı bəd olanın saqqalı tez ağarar.|331
Arvadın deyingəni kişini tez qocaldar.|873
Asılsan da, uca budaqdan asıl.|154
Aslan ağzından şikar alınmaz.|3
Aslan qocalanda başına çaqqal-çuqqal toplaşar.|203
Aslan yatışından da bəllidir.|387
Aslanı da heç yalqız qalmasın.|837
Aslanın balası aslan olar.|255
Aslanın böyüyü-kiçiyi olmaz.|653
Aslanın qorxusu qarıncadan olar.|54
Aslanın nə erkəyi, nə dişisi?!|206
Asta çal – usta çal.|780
Asta qaçan namərddi.|830
Asta vur – rasta vur.|159
Astanın işi qalmaz, xəstənin işi qalar.|5
Astarı üzündən bahadı.|712
Aş başında qırqovuldu.|362
Aşdır – bişər, işdir – düşər.|434
Aşından yemədim, tüstüsündən kor oldum.|323
Aşpazdan küsən evinə ac gedər.|305
Aşpazxanada yeyir, dulusxanada hürür.|739
Aşağa, aşağa, kor Mahmuddan da aşağa?!|785
Aşağı, aşağı, qatıqlı aşdan da aşağı?!|563
Aşığı uduzub, curuna güvənir.|286
Aşığı yığarlar oynamaq üçün.|686
Aşığı ağladan gülməz.|870
Aşığın sözü qurtaranda “yarım, yarım” çağırar.|380
Aşığınan mollanın heç olmaz şad arası.|778
Aşığınkı haydandır, mollanınkı vaydan.|880
Aşıq gördüyünü çağırar.|166
Aşıq sözü haqq olar.|898
Aşıq sözündən doymaz, ləlöyün gözündən.|512
Aşıq toya yüyürər, molla vaya.|68
Aşıq üz görən yerə.|328
Aşiqə Bağdad uzaq deyil.|131
At almağa cahıl göndər, qız almağa ahıl.|605
At almamış noxta davası eləyir.|178
At almamış töylə tikdir.|382
At atınan əlləşər, arada eşşəyin qıçı sınar.|189
At bəslənirkən, qız istənirkən.|966
At elin, torba əmanət, bizim daha nəyimiz var?|67
At ələ düşər, meydan ələ düşməz.|342
At igidin yoldaşı.|181
At ilə arvad igidin iqbalına.|15
At ilə yola çıxan eşşəyin vay halına.|983
At qatır doğub, nəsli pozulub.|524
At meydanında eşşək anqırmaz.|603
At mıxını qopardar, bir yerə dəyər, iki özünə.|484
At minənin tanıyar.|169
At minənindir, qılınc qurşananın.|376
At miniş öyrədər, don – yeriş.|126
At oğurlanandan sonra axur nəyə gərək?|700
At olanda ot olmur, ot olanda at.|626
At olmayan yerdə eşşək də atdır.|166
At öldü, itlərin oldu bayramı.|747
At ölər - meydan qalar, igid ölər - şan qalar.|586
At saxlayan atdan yüyrək ola gərək.|111
At tapıldı, yəhər tapılmadı?|590
At təpiyinə at dözər.|438
At yeməyən acı otlar bitməsə yaxşıdır.|423
At yeriməklə yol alar, insan bilməklə.|482
At yerinə eşşək bağlama.|364
Ata baxarlar, başına torba taxarlar.|505
Ata dost kimi bax, düşmən kimi min.|884
Ata minəndə özünü, atdan düşəndə atı unutma.|36
Ata nal çalındığın görəndə qurbağa ayaqlarını uzatdı.|861
Atdan düşüb eşşəyə minməzlər.|466
Atdan qalanı öküzə verərlər.|417
Atdan yıxılana yorğan-döşək, eşşəkdən yıxılana qazma, kürək.|116
Atdan yıxılmayan atlı olmaz.|98
Atı atası ilə tanıdarlar, qatırı anası ilə.|67
Atı atın yanına bağlarsan, həmrəng olmaz, həmxasiyyət olar.|114
Atı cahıl gözünnən, qızı ahıl gözünnən.|574
Atı olana nisyə qamçı da verərlər.|296
Atı satıb eşşək alıb, dumbula-dum, dumbula-dum!|204
Atın axmağı yorğa olar, itin axmağı tula.|278
Atın izi itin izinə qarışmaz.|964
Atın ölümü təki arpadan olsun.|426
Atına baxan ardına baxmaz.|11
Atına eşşək demişəm, ya dəvənə köşək?!|862
Atını bağla dirəyə, sonra Tanrıya tapşır.|609
Atlı ilə atsız bir deyil.|527
Atlı ilə piyadanın sövdası tutmaz.|592
Atlı qonaq itli qonaqdan yaxşıdı.|139
Atlılar atın çapar, dayçalı deyər mən də varam.|565
Atnan qatır savaşdı, arada eşşək öldü.|188
Ata bilgisi ilə adam adam olmaz.|644
Ata çörəyi – meydan çörəyi, oğul çörəyi – zindan çörəyi.|496
Ata doğrayıb, oğul yeyibdir.|534
Ata malına göz dikən ac qalar.|623
Ata oğluna bir bağ verdi, oğul ataya bir salxım qıymadı.|371
Ata oğlundan ötrü mülkündən keçdi, oğul atadan ötrü kürkündən keçmədi.|392
Ata oğul savaşdı, əbləh ona inandı.|248
Ata olmaq asandı, atalıq eləmək çətin.|948
Ata olmayan ata qədrini bilməz.|215
Ata sözün tutmayanı biyabana atarlar.|144
Ata yetirən qız ərlənər, ana yetirən oğul qızlanar.|253
Atalar nə əkiblər, oğullar onu biçiblər.|353
Atalar nə gözəl məsəl demişlər; dünyanı ümid ilə yemişlər.|241
Atalar sözü hikmətdir.|661
Atalar sözünə baxan geri qalmaz.|819
Atam, atam, mən bu işə matam!|621
Atam ilə atamı deyincə özüm ilə özünü de.|804
Atamı öldürmüşəm, goruna and içməyə.|960
Atan soğan, anan sarımsaq, sən hardan gəldin belə gülməşəkər?!|604
Atanı, ananı görməsəydim, özünə xan deyərdim.|732
Atanın duası, ananın ahı.|743
Ataş deməknən ağız yanmaz.|406
Atılan ox geri dönməz.|173
Atıldı mindi eşşəyə, bayaq da ayağı yerdəydi, indi də.|991
Avara itin hörməti olmaz.|843
Avazın yaxşı gəlir, oxuduğun Quran olsa.|404
Ay aydın, hesab bəlli.|169
Ay aydır, onun da üzündə ləkə var.|636
Ay görmüşün ulduza nə minnəti?!|364
Ay həmişə bulud altında qalmaz.|90
Ay işığına it hürər.|18
Ay mənlə olsun, ulduzun gözünə barmağım.|257
Ay-ulduz göyə yaraşır.|294
Ayda-ildə bir namaz, onu da şeytan qoymaz.|207
Ayda-ildə xoş gəldin, gündə-gündə nöş gəldin.|163
Ayı kim gördü? – Kor Mahmud.|177
Ayın on beşi qaranlıq olsa da, on beşi aydınlıqdır.|995
Ay daş atan baxtavar, daşın da bir vaxtı var.|78
Ay fələk, batmanı eylədin çərək.|404
Ay gedən it, gəl məni tut.|382
Ay qaynana, heç gəlin olmamısan?!|937
Ay özünü bəyənmiş, qoy səni el bəyənsin.|693
Ayağa düşməyən başa çıxmaz.|701
Ayağı ilə gələnə ölüm olmaz.|497
Ayağından yıxılan qalxar, dilindən yıxılan yox.|345
Ayağını yorğanına görə uzat.|463
Ayaqla gələn qonağı atla yola salarlar.|135
Ayaq-ayaq nərdivana çıxarlar.|959
Ayaz oldu, bulud oldu, keçən günlər unuduldu.|682
Ayazda yatmayan eşşək töylənin qədrin bilməz.|982
Ayı balasına “ağappağım” deyər, kirpi balasına – “yumşağım”.|356
Ayı meşədən küsüb, meşənin xəbəri yox.|11
Ayı nədi, oynamaq nədi?!|354
Ayının min bir oyunu var - hamısı bir armud üstədir.|394
Ayıya dayı deyərlər körpünü keçincən.|563
Ayıb söyləyənin ayıbını söylərlər.|767
Ayıblı ayıbın bilsə, başına palaz örtər.|520
Aynanın çatdağı calaq qəbul eləməz.|419
Aynaya necə baxsan, özünü elə görərsən.|8
Ayrana getməyə utanmır, sərnici dalında gizlədir.|163
Ayrana gələn çanağı böyrünə sıxar.|653
Az idi arıq-uruq, biri də gəldi dabanı cırıq.|350
Az ilən çoxun oyunu olmaz.|120
Az olur küsür, çox olur qusur.|945
Az tamah çox bəla gətirər.|470
Az vardı ac adam, biri də düşdü bacadan.|386
Az yeyənin azarı da az olar.|897
Aza qane olmayan çoxu tapammaz.|42
Azacıq aşım, ağrımaz başım.|178
Azca, hara gedirsən? Çoxca yanına.|367
Azdan az deyiblər, çoxdan çox.|854
Azı bilməyən çoxu heç bilməz.|264
Azan quşun ömrü az olar.|338
Azğın adam quzğun olar.|121
Azar batmannan girər, misqalnan çıxar.|896
Azarla mənimçün, ölüm səninçün.|417
Azarladım ölmədim, üzüldüm öldüm.|935
Azarlı tələsər, armud vaxtında yetişər.|809
Azarlıq olsun, bezarlıq olmasın.|835
Babam mənə kor deyib, gəlib gedəni vur deyib!|782
Bablı babın tapmasa, günü ah-vaynan keçər.|917
Bacanaq bacanağı görəndə qaşınma tutar.|851
Bağ olmayan yerdə böyürtkən özünü bağ çağırar.|532
Bağ sahibsiz olmaz.|459
Bağ salan barın yeyər.|117
Bağ vaxtı bağbanın qulağı ağır eşidər.|112
Bağa bax üzüm olsun, yeməyə üzün olsun.|318
Bağa baxarsan bağ olar, baxmazsan dağ olar.|356
Bağban bağban olsa, neyləyir bağ divarı?!|170
Bağban tələsər, armud vaxtında yetişər.|705
Bağbanın könlü olsa, nə gəlib bağda paya?!|568
Bağda ərik var idi, salam-məlik var idi, Bağdan ərik qurtardı, salam-məlik qurtardı.|815
Bağı bağban yeyər, qoyunu çoban.|83
Bağı ver bağbana, yarısın yesə də.|142
Bağlı bağını qıydı, bağban salxım qıymadı.|270
Bağa qınından çıxdı, daha qının bəyənmədi.|610
Bağa özün çəkə bilməz, evin dalına alar.|694
Bağanı ya öldür, ya dalısı üstə qoy.|919
Bahalıqda çörəyin əsirgəyən ucuzluqda yalqız qalar.|144
Baxma deyənə, bax dediyinə.|157
Baxmaq kirayə istəməz.|622
Baxmaqla öyrənmək olsa, itdən qəssab olardı.|17
Bal tutan barmaq yalar.|46
Bal verən çiçəyi arı tanıyar.|788
Bal yedin, bəlaya düşdün.|531
Bal yeyib, bəlasını çəkir.|858
Balını ye, arısını soruşma.|51
Bala baldan şirindir.|478
Bala quşun ağzı böyük olar.|41
Balalı qarğa bal yeməz.|278
Balalı qarğaya yem yoxdu.|365
Baldızım – çuvaldızım, hərdən gələr, sancar, gedər.|664
Balığı haçan tutsan təzədir.|395
Balığı ya öldürdün, ya sudan qırağa qoydun.|551
Balığın dirisi də suda, ölüsü də.|133
Balıq balığı udmasa – dəryanı balıq tutar.|479
Balıq başdan iylənər.|77
Balıq sudaykən sövda olmaz.|549
Balıq suya çəkər.|396
Balıq tutan suyu bulanıq istər.|398
Balta ağac kəsməzdi, sapı ağac olmasaydı.|102
Baltada varsa, sapında da var.|877
Baltanı dibdən vurmazlar.|799
Baltanı qızıldan elərsən, gedər odunun yanına düşər.|749
Bar verən ağacı kəsməzlər.|153
Barlı ağaca daş atarlar.|149
Barlı ağacın başına dolanarlar.|336
